user_id,emotion_id,emotion,log_id,X,Y,,,
121968,1475,Alive,139161,-0.190833333,-0.209166667,,,
121970,2220,Disappointed,154001,0.344166667,0.032083333,,,
121968,1450,Cheerful,149681,-0.39125,-0.218333333,,,
121968,2220,Disappointed,151521,0.344166667,0.032083333,,, 
121968,2220,Disappointed,154201,0.344166667,0.032083333,,,
121970,1351,Motivated,153961,-0.72375,-0.71875,,,
121968,2178,Tense,155241,0.1075,-0.469583333,,,
121970,1351,Motivated,159601,-0.72375,-0.71875,,,
121970,1401,Kind,161521,-0.66625,0.03375,,,
121970,3012,Curious,163721,-0.460833333,0.037083333,,,
121968,1373,Confident,157081,-0.703483848,-0.456678997,,,
121970,1617,Great,159561,-0.460416667,-0.720416667,,,
121968,54169,Interested,165801,-0.1875,0.029166667,,,
121970,2820,Pessimistic,159521,0.335,0.282083333,,,
121970,2057,Settled,162561,-0.684378317,0.776148169,,,
121968,1617,Great,174721,-0.460416667,-0.720416667,,,
121968,1469,Anticipation,175601,-0.165,-0.46125,,,
121968,1405,Good,204681,-0.667053384,0.286876039,,,
121968,1450,Cheerful,204721,-0.39125,-0.218333333,,,
121968,1617,Great,204761,-0.460416667,-0.720416667,,,
121964,1353,Happy,278361,-0.925,-0.4575,,,
121964,54164,Excited,267121,-0.724519587,-0.963555718,,,
121964,54164,Excited,278281,-0.724519587,-0.963555718,,,
121968,1414,Peaceful,264481,-0.953130088,0.835287177,,,
121968,2347,Cynical,264561,0.584583333,0.038333333,,,
121968,1373,Confident,264601,-0.703483848,-0.456678997,,,
121968,1450,Cheerful,264641,-0.39125,-0.218333333,,,
121964,2704,Cautious,360281,0.046666667,0.092083333,,,
121964,54181,Sad,360321,0.83375,0.044166667,,,
121964,1506,Able,360361,-0.145416667,0.281666667,,,
121964,1506,Able,360401,-0.145416667,0.281666667,,,
121962,1576,Innovative,133241,-0.58571154,-0.631580856,,,
121962,1872,Adventurous,133321,-0.3517767,-0.579207984,,,
121968,1450,Cheerful,133041,-0.39125,-0.218333333,,,
121970,54169,Interested,154041,-0.1875,0.029166667,,,
121962,1605,Active,169241,-0.133021449,-0.399502729,,,
121968,2630,Edgy,167081,0.105849708,-0.326869343,,,
121962,1735,Productive,169201,-0.545653529,-0.454313721,,,
121968,1708,Equilibrium,167121,-0.208966418,0.155142707,,,
121962,1405,Good,169161,-0.667053384,0.286876039,,,
121968,1485,Satisfied,173321,-0.287497787,0.203496372,,,
121962,1736,Ready,173721,-0.45875,0.535,,,
121962,3012,Curious,174761,-0.460833333,0.037083333,,,
121968,2033,Lucky,173361,-0.050633889,-0.29371537,,,
121962,2016,Responsible,173761,-0.16584866,-0.335391732,,,
121968,54168,Focused,173401,-0.291561021,-0.464424149,,,
121962,2081,Saturated,173801,0.2792701,-0.738979659,,,
121968,54236,Co-operative,174681,-0.115,-0.21,,,
121962,1679,Prepared,178961,-0.079583333,-0.429583333,,,
121968,1474,Capable,180841,-0.059936935,-0.045200221,,,
121962,1617,Great,179001,-0.460416667,-0.720416667,,,
121968,1468,Solid,180881,-0.137352111,-0.287638077,,,
121962,2241,Tired,179041,0.0475,0.605416667,,,
121968,54235,Sprightly,180921,-0.0875,-0.41,,,
121962,2197,Unsure,183161,0.055416667,0.204583333,,,
121968,1679,Prepared,180961,-0.079583333,-0.429583333,,,
121962,1819,Driven,183201,-0.288262275,-0.844900418,,,
121968,2642,Disgruntled,181241,0.11374589,-0.218163936,,,
121962,1455,Healthy,183241,-0.31625,-0.105416667,,,
121968,1450,Cheerful,183681,-0.39125,-0.218333333,,,
121962,1405,Good,187881,-0.667053384,0.286876039,,,
121968,1474,Capable,185761,-0.059936935,-0.045200221,,,
121962,1353,Happy,187921,-0.925,-0.4575,,,
121968,1469,Anticipation,185801,-0.165,-0.46125,,,
121962,1436,Warm,188241,-0.357588458,0.129757571,,,
121968,1679,Prepared,185841,-0.079583333,-0.429583333,,,
121962,2085,Wired,192841,-0.139517979,-0.930383555,,,
121968,1438,Pleased,191841,-0.565590817,0.192935363,,,
121962,54168,Focused,192881,-0.291561021,-0.464424149,,,
121962,1430,Hopeful,192921,-0.385734073,-0.548946,,,
121968,1941,Buzzing,191921,-0.531335718,-0.661022109,,,
121962,1459,Comfortable,192961,-0.310594355,-0.08680757,,,
121968,1493,Glad,191961,-0.471374729,0.402052091,,,
121962,1351,Motivated,197481,-0.72375,-0.71875,,,
121968,1804,Reliable,196841,-0.408167756,-0.200156877,,,
121962,2036,Purposeful,197521,-0.856952085,-0.194453554,,,
121968,1403,Grateful,196921,-0.681115649,0.196844718,,,
121962,2166,Cross,197561,0.202169975,-0.46791342,,,
121968,1463,Effective,196961,-0.231426355,-0.290595466,,,
121962,1433,Bold,202281,-0.200588976,-0.93612801,,,
121968,2630,Edgy,204801,0.105849708,-0.326869343,,,
121962,2016,Responsible,202321,-0.16584866,-0.335391732,,,
121968,1437,Busy,204841,-0.192083333,-0.68,,,
121962,2241,Tired,202361,0.0475,0.605416667,,,
121968,2241,Tired,204881,0.0475,0.605416667,,,
121962,1576,Innovative,206361,-0.58571154,-0.631580856,,,
121962,1336,Enthusiastic,206401,-0.694485227,-0.827490484,,,
121962,1657,Reasonable,206441,-0.1675,0.542916667,,,
121962,54168,Focused,211601,-0.291561021,-0.464424149,,,
121962,1349,Engaged,211641,-0.181506014,-0.580540886,,,
121962,2241,Tired,211681,0.0475,0.605416667,,,
121962,2294,Exasperated,218121,0.780285828,-0.539356872,,,
121968,2630,Edgy,220521,0.105849708,-0.326869343,,,
